===============================================================
Date        : Wed May 13 10:49:38 AM -03 2026
SubmitHost  : cei1
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782086
Node(s)     : cei1
===============================================================
[11:45:28] 0175_parsec_gd_dpotrf_n19200_b384_rep4
[11:45:32] 0176_parsec_lfq_dpotrf_n19200_b960_rep4
[11:45:36] 0177_parsec_lfq_dpotrf_n19200_b200_rep4
[11:45:40] 0181_parsec_lfq_dgeqrf_n19200_b960_rep4
[11:46:09] 0182_parsec_gd_dpotrf_n19200_b960_rep4
[11:46:13] 0185_parsec_lfq_dgeqrf_n19200_b480_rep4
[11:46:35] 0187_parsec_lfq_dgeqrf_n19200_b200_rep4
[11:47:01] 0188_parsec_gd_dgeqrf_n19200_b320_rep4
[11:47:23] 0190_parsec_gd_dgeqrf_n19200_b480_rep4
[11:47:45] 0193_parsec_lfq_dpotrf_n19200_b384_rep4
[11:47:49] 0194_parsec_gd_dpotrf_n19200_b320_rep4
[11:47:53] 0196_parsec_lfq_dgeqrf_n19200_b256_rep4
[11:48:17] 0197_parsec_gd_dpotrf_n19200_b200_rep4
[11:48:21] 0199_parsec_gd_dpotrf_n19200_b256_rep4
[11:48:25] 0205_parsec_gd_dgeqrf_n19200_b640_rep4
[11:48:51] 0209_parsec_gd_dgeqrf_n19200_b384_rep4
[11:49:13] 0213_parsec_lfq_dpotrf_n19200_b320_rep4
[11:49:17] 0215_parsec_gd_dgeqrf_n19200_b960_rep4
[11:49:45] 0219_parsec_lfq_dgeqrf_n19200_b640_rep4
[11:50:12] 0220_parsec_lfq_dpotrf_n19200_b640_rep4
[11:50:17] 0221_parsec_lfq_dgeqrf_n19200_b320_rep4
[11:50:39] 0222_parsec_lfq_dpotrf_n19200_b480_rep4
[11:50:43] 0223_parsec_gd_dpotrf_n19200_b480_rep4
[11:50:47] 0224_parsec_gd_dgeqrf_n19200_b256_rep4
[11:51:11] 0226_parsec_lfq_dpotrf_n19200_b200_rep5
[11:51:15] 0227_parsec_lfq_dgeqrf_n19200_b960_rep5
[11:51:43] 0228_parsec_lfq_dgeqrf_n19200_b640_rep5
[11:52:11] 0232_parsec_lfq_dpotrf_n19200_b256_rep5
[11:52:15] 0234_parsec_gd_dpotrf_n19200_b960_rep5
[11:52:19] 0236_parsec_gd_dgeqrf_n19200_b200_rep5
[11:52:45] 0238_parsec_lfq_dgeqrf_n19200_b320_rep5
[11:53:07] 0240_parsec_lfq_dpotrf_n19200_b320_rep5
[11:53:11] 0246_parsec_gd_dgeqrf_n19200_b384_rep5
[11:53:33] 0249_parsec_gd_dgeqrf_n19200_b480_rep5
[11:53:55] 0252_parsec_lfq_dpotrf_n19200_b480_rep5
[11:53:59] 0253_parsec_gd_dpotrf_n19200_b256_rep5
[11:54:03] 0257_parsec_lfq_dpotrf_n19200_b960_rep5
[11:54:07] 0259_parsec_gd_dgeqrf_n19200_b960_rep5
[11:54:35] 0262_parsec_lfq_dgeqrf_n19200_b480_rep5
[11:54:58] 0263_parsec_lfq_dgeqrf_n19200_b200_rep5
[11:55:23] 0265_parsec_lfq_dgeqrf_n19200_b384_rep5
[11:55:45] 0267_parsec_lfq_dpotrf_n19200_b384_rep5
[11:55:49] 0269_parsec_gd_dgeqrf_n19200_b320_rep5
[11:56:12] 0270_parsec_gd_dgeqrf_n19200_b640_rep5
[11:56:38] 0271_parsec_lfq_dpotrf_n19200_b640_rep5
[11:56:42] 0272_parsec_gd_dpotrf_n19200_b480_rep5
[11:56:46] 0273_parsec_gd_dpotrf_n19200_b200_rep5
[11:56:49] 0274_parsec_gd_dpotrf_n19200_b384_rep5
[11:56:53] 0275_parsec_lfq_dgeqrf_n19200_b256_rep5
[11:57:18] 0276_parsec_gd_dgeqrf_n19200_b256_rep5
[11:57:42] 0277_parsec_gd_dpotrf_n19200_b320_rep5
[11:57:46] 0280_parsec_gd_dpotrf_n19200_b640_rep5
/scratch/matregnago//intro_hpc/results/chameleon-runtimes_782086 -> /home/users/matregnago/intro_hpc/data/chameleon-runtimes_782086
