runtime,scheduler,algorithm,n,b,threads,rep,time,gflops
starpu,lws,dgeqrf,19200,200,24,.5,2.540302e+01,3.715276e+02
starpu,lws,dpotrf,19200,320,24,.5,4.020430e+00,5.868726e+02
starpu,lws,dpotrf,19200,256,24,.5,4.139747e+00,5.699576e+02
starpu,lws,dgeqrf,19200,320,24,.5,2.192981e+01,4.303695e+02
starpu,ws,dpotrf,19200,480,24,.5,3.830058e+00,6.160430e+02
starpu,lws,dpotrf,19200,960,24,.5,4.274363e+00,5.520074e+02
starpu,ws,dpotrf,19200,320,24,.5,4.053260e+00,5.821192e+02
parsec,lfq,dpotrf,19200,640,24,.1,3.973653e+00,5.937812e+02
parsec,lfq,dgeqrf,19200,320,24,.1,2.192179e+01,4.305269e+02
parsec,gd,dpotrf,19200,200,24,.1,3.790265e+00,6.225106e+02
parsec,lfq,dpotrf,19200,320,24,.1,3.831299e+00,6.158434e+02
parsec,gd,dpotrf,19200,320,24,.1,3.760180e+00,6.274913e+02
parsec,lfq,dgeqrf,19200,960,24,.1,2.767131e+01,3.410725e+02
parsec,gd,dgeqrf,19200,256,24,.1,2.381501e+01,3.963014e+02
parsec,lfq,dpotrf,19200,480,24,.1,3.771403e+00,6.256240e+02
parsec,gd,dpotrf,19200,960,24,.1,4.066023e+00,5.802919e+02
parsec,gd,dpotrf,19200,640,24,.1,3.805386e+00,6.200370e+02
parsec,lfq,dgeqrf,19200,480,24,.1,2.157313e+01,4.374850e+02
parsec,lfq,dpotrf,19200,960,24,.1,4.111725e+00,5.738419e+02
parsec,gd,dgeqrf,19200,320,24,.1,2.186940e+01,4.315583e+02
parsec,gd,dgeqrf,19200,200,24,.1,2.532213e+01,3.727144e+02
parsec,lfq,dpotrf,19200,200,24,.1,3.900109e+00,6.049780e+02
parsec,lfq,dgeqrf,19200,200,24,.1,2.515453e+01,3.751977e+02
parsec,lfq,dgeqrf,19200,384,24,.1,2.149066e+01,4.391638e+02
parsec,lfq,dgeqrf,19200,256,24,.1,2.377216e+01,3.970157e+02
parsec,lfq,dpotrf,19200,384,24,.1,3.840440e+00,6.143776e+02
parsec,gd,dgeqrf,19200,480,24,.1,2.122389e+01,4.446840e+02
parsec,gd,dpotrf,19200,480,24,.1,3.643893e+00,6.475164e+02
parsec,lfq,dgeqrf,19200,640,24,.1,2.709305e+01,3.483522e+02
parsec,gd,dgeqrf,19200,384,24,.1,2.142003e+01,4.406120e+02
parsec,gd,dgeqrf,19200,640,24,.1,2.535913e+01,3.721706e+02
parsec,lfq,dpotrf,19200,256,24,.1,3.781506e+00,6.239525e+02
parsec,gd,dgeqrf,19200,960,24,.1,2.733600e+01,3.452561e+02
parsec,gd,dpotrf,19200,384,24,.1,3.680506e+00,6.410750e+02
parsec,gd,dpotrf,19200,256,24,.1,3.734296e+00,6.318408e+02
parsec,lfq,dgeqrf,19200,384,24,.2,2.159323e+01,4.370777e+02
parsec,lfq,dgeqrf,19200,640,24,.2,2.699246e+01,3.496503e+02
parsec,gd,dgeqrf,19200,320,24,.2,2.181543e+01,4.326259e+02
parsec,gd,dpotrf,19200,640,24,.2,3.845845e+00,6.135142e+02
parsec,gd,dgeqrf,19200,256,24,.2,2.384017e+01,3.958831e+02
parsec,lfq,dpotrf,19200,640,24,.2,4.019981e+00,5.869382e+02
parsec,lfq,dpotrf,19200,200,24,.2,3.929205e+00,6.004982e+02
parsec,gd,dpotrf,19200,960,24,.2,4.068462e+00,5.799440e+02
parsec,gd,dpotrf,19200,384,24,.2,3.695371e+00,6.384962e+02
parsec,lfq,dpotrf,19200,320,24,.2,3.847267e+00,6.132874e+02
parsec,lfq,dpotrf,19200,256,24,.2,3.795558e+00,6.216425e+02
parsec,lfq,dgeqrf,19200,480,24,.2,2.162923e+01,4.363503e+02
parsec,gd,dgeqrf,19200,384,24,.2,2.144276e+01,4.401449e+02
parsec,lfq,dgeqrf,19200,200,24,.2,2.512421e+01,3.756505e+02
parsec,lfq,dgeqrf,19200,320,24,.2,2.183097e+01,4.323179e+02
parsec,gd,dpotrf,19200,200,24,.2,3.789383e+00,6.226556e+02
parsec,gd,dpotrf,19200,320,24,.2,3.764251e+00,6.268127e+02
parsec,gd,dpotrf,19200,480,24,.2,3.657543e+00,6.450998e+02
parsec,lfq,dgeqrf,19200,256,24,.2,2.378333e+01,3.968293e+02
parsec,lfq,dgeqrf,19200,960,24,.2,2.796992e+01,3.374311e+02
parsec,gd,dgeqrf,19200,640,24,.2,2.520971e+01,3.743764e+02
parsec,gd,dgeqrf,19200,200,24,.2,2.534469e+01,3.723826e+02
parsec,lfq,dpotrf,19200,384,24,.2,3.817314e+00,6.180996e+02
parsec,gd,dgeqrf,19200,480,24,.2,2.123212e+01,4.445116e+02
parsec,lfq,dpotrf,19200,480,24,.2,3.765426e+00,6.266171e+02
parsec,gd,dgeqrf,19200,960,24,.2,2.704354e+01,3.489899e+02
parsec,lfq,dpotrf,19200,960,24,.2,4.344101e+00,5.431458e+02
parsec,gd,dpotrf,19200,256,24,.2,3.727873e+00,6.329294e+02
parsec,lfq,dpotrf,19200,384,24,.3,3.771780e+00,6.255615e+02
parsec,gd,dgeqrf,19200,256,24,.3,2.381187e+01,3.963536e+02
parsec,gd,dpotrf,19200,960,24,.3,4.054009e+00,5.820116e+02
parsec,gd,dpotrf,19200,480,24,.3,3.627113e+00,6.505119e+02
parsec,gd,dgeqrf,19200,200,24,.3,2.531441e+01,3.728280e+02
parsec,gd,dpotrf,19200,384,24,.3,3.696827e+00,6.382447e+02
parsec,lfq,dpotrf,19200,960,24,.3,4.384550e+00,5.381351e+02
parsec,gd,dpotrf,19200,320,24,.3,3.797004e+00,6.214058e+02
parsec,gd,dgeqrf,19200,640,24,.3,2.518480e+01,3.747468e+02
parsec,lfq,dgeqrf,19200,384,24,.3,2.147885e+01,4.394054e+02
parsec,lfq,dgeqrf,19200,320,24,.3,2.193839e+01,4.302012e+02
parsec,lfq,dpotrf,19200,640,24,.3,3.895160e+00,6.057467e+02
parsec,gd,dgeqrf,19200,320,24,.3,2.183533e+01,4.322317e+02
parsec,gd,dgeqrf,19200,480,24,.3,2.122851e+01,4.445871e+02
parsec,lfq,dpotrf,19200,200,24,.3,3.913121e+00,6.029664e+02
parsec,lfq,dpotrf,19200,320,24,.3,3.823141e+00,6.171575e+02
parsec,lfq,dpotrf,19200,480,24,.3,3.784752e+00,6.234174e+02
parsec,lfq,dgeqrf,19200,200,24,.3,2.513312e+01,3.755173e+02
parsec,lfq,dgeqrf,19200,960,24,.3,2.757718e+01,3.422367e+02
parsec,lfq,dgeqrf,19200,256,24,.3,2.375987e+01,3.972212e+02
