runtime,scheduler,algorithm,n,b,threads,rep,time,gflops,exit_status
starpu,lws,geqrf,19200,320,24,1,2.201722e+01,4.286609e+02,0
starpu,lws,potrf,15360,320,24,4,2.133849e+00,5.661495e+02,0
starpu,lws,potrf,3840,320,24,3,5.916462e-02,3.191391e+02,0
starpu,lws,potrf,3840,320,24,4,5.753996e-02,3.281501e+02,0
starpu,dmda,geqrf,11520,320,24,4,4.920573e+00,4.143211e+02,0
starpu,lws,potrf,15360,320,24,3,2.127966e+00,5.677148e+02,0
starpu,lws,potrf,19200,320,24,2,4.032198e+00,5.851598e+02,0
starpu,lws,geqrf,3840,320,24,1,2.592227e-01,2.913594e+02,0
starpu,lws,geqrf,19200,320,24,3,2.202914e+01,4.284290e+02,0
starpu,dmda,potrf,1920,320,24,3,2.542300e-02,9.287416e+01,0
starpu,dmda,potrf,7680,320,24,1,2.956094e-01,5.108919e+02,0
starpu,lws,potrf,3840,320,24,2,5.789343e-02,3.261465e+02,0
starpu,lws,potrf,19200,320,24,4,4.074935e+00,5.790228e+02,0
parsec,ll,potrf,11520,320,24,3,8.685372e-01,5.868192e+02,0
parsec,ll,potrf,19200,320,24,5,3.841446e+00,6.142167e+02,0
parsec,lfq,potrf,7680,320,24,3,2.788799e-01,5.415394e+02,0
parsec,ll,geqrf,15360,320,24,2,1.128013e+01,4.283915e+02,0
parsec,lfq,potrf,3840,320,24,2,5.521393e-02,3.419742e+02,0
parsec,ll,potrf,7680,320,24,4,2.732241e-01,5.527493e+02,0
parsec,lfq,potrf,15360,320,24,1,2.001668e+00,6.035354e+02,0
parsec,lfq,potrf,1920,320,24,4,2.249503e-02,1.049627e+02,0
parsec,ll,potrf,7680,320,24,1,2.877929e-01,5.247677e+02,0
parsec,ll,potrf,19200,320,24,2,3.847768e+00,6.132075e+02,0
parsec,lfq,geqrf,3840,320,24,1,2.808950e-01,2.688798e+02,0
parsec,lfq,geqrf,19200,320,24,2,2.180968e+01,4.327400e+02,0
parsec,lfq,potrf,1920,320,24,3,2.234793e-02,1.056536e+02,0
parsec,lfq,potrf,19200,320,24,5,3.807548e+00,6.196850e+02,0
parsec,ll,geqrf,7680,320,24,3,1.516258e+00,3.984136e+02,0
parsec,ll,geqrf,11520,320,24,4,4.835189e+00,4.216375e+02,0
parsec,ll,potrf,15360,320,24,3,2.006536e+00,6.020712e+02,0
parsec,lfq,geqrf,7680,320,24,3,1.532040e+00,3.943094e+02,0
parsec,ll,geqrf,15360,320,24,4,1.125693e+01,4.292743e+02,0
parsec,ll,geqrf,19200,320,24,5,2.181699e+01,4.325951e+02,0
parsec,ll,potrf,15360,320,24,2,1.995600e+00,6.053706e+02,0
parsec,lfq,potrf,11520,320,24,4,8.873401e-01,5.743844e+02,0
parsec,ll,geqrf,3840,320,24,4,2.745831e-01,2.750606e+02,0
parsec,ll,geqrf,1920,320,24,5,1.060851e-01,8.902823e+01,0
parsec,ll,potrf,1920,320,24,3,2.258992e-02,1.045218e+02,0
parsec,lfq,potrf,1920,320,24,1,2.348709e-02,1.005292e+02,0
parsec,lfq,potrf,7680,320,24,2,2.768002e-01,5.456082e+02,0
parsec,lfq,potrf,1920,320,24,2,2.229786e-02,1.058909e+02,0
parsec,lfq,geqrf,3840,320,24,3,2.863350e-01,2.637714e+02,0
parsec,lfq,potrf,19200,320,24,2,3.833579e+00,6.154772e+02,0
parsec,ll,potrf,7680,320,24,3,2.779839e-01,5.432848e+02,0
parsec,ll,potrf,15360,320,24,4,2.009444e+00,6.011999e+02,0
parsec,lfq,geqrf,1920,320,24,3,1.014469e-01,9.309864e+01,0
parsec,ll,geqrf,11520,320,24,1,4.838361e+00,4.213611e+02,0
parsec,lfq,potrf,19200,320,24,4,3.851520e+00,6.126102e+02,0
parsec,lfq,potrf,19200,320,24,1,3.840404e+00,6.143834e+02,0
parsec,lfq,geqrf,11520,320,24,1,4.876011e+00,4.181076e+02,0
parsec,ll,geqrf,11520,320,24,2,4.823691e+00,4.226426e+02,0
