===============================================================
Date        : Tue May 12 01:38:43 PM -03 2026
SubmitHost  : cei2
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782024
Node(s)     : cei2
===============================================================
[14:49:40] 0403_starpu_lws_potrf_n28800_b480_blk4
[14:50:08] 0404_starpu_ws_potrf_n7200_b480_blk4
[14:50:09] 0405_starpu_ws_geqrf_n14400_b480_blk4
[14:50:28] 0406_starpu_lws_potrf_n12000_b480_blk4
[14:50:31] 0407_starpu_lws_geqrf_n24000_b480_blk4
[14:51:58] 0408_starpu_ws_potrf_n21600_b480_blk4
[14:52:10] 0409_starpu_ws_geqrf_n26400_b480_blk4
[14:54:06] 0410_starpu_lws_geqrf_n21600_b480_blk4
[14:55:10] 0411_starpu_ws_potrf_n4800_b480_blk4
[14:55:11] 0412_starpu_ws_geqrf_n9600_b480_blk4
[14:55:17] 0413_starpu_ws_potrf_n9600_b480_blk4
[14:55:18] 0414_starpu_lws_potrf_n21600_b480_blk4
[14:55:30] 0415_starpu_lws_potrf_n26400_b480_blk4
[14:55:52] 0416_starpu_ws_potrf_n16800_b480_blk4
[14:55:58] 0417_starpu_lws_potrf_n19200_b480_blk4
[14:56:07] 0418_starpu_ws_potrf_n24000_b480_blk4
[14:56:24] 0419_starpu_ws_geqrf_n4800_b480_blk4
[14:56:25] 0420_starpu_lws_geqrf_n28800_b480_blk4
[14:58:55] 0421_starpu_lws_geqrf_n16800_b480_blk4
[14:59:26] 0422_starpu_lws_potrf_n9600_b480_blk4
[14:59:27] 0423_starpu_ws_geqrf_n7200_b480_blk4
[14:59:30] 0424_starpu_lws_geqrf_n7200_b480_blk4
[14:59:33] 0425_starpu_lws_geqrf_n2400_b480_blk4
[14:59:34] 0426_starpu_ws_geqrf_n28800_b480_blk4
[15:02:04] 0427_starpu_lws_geqrf_n19200_b480_blk4
[15:02:49] 0428_starpu_lws_geqrf_n12000_b480_blk4
[15:03:00] 0429_starpu_lws_geqrf_n9600_b480_blk4
[15:03:07] 0430_starpu_lws_geqrf_n14400_b480_blk4
[15:03:26] 0431_starpu_ws_potrf_n28800_b480_blk4
[15:03:54] 0432_starpu_ws_geqrf_n2400_b480_blk4
[15:03:55] 0433_starpu_lws_geqrf_n24000_b480_blk5
[15:05:22] 0434_starpu_ws_potrf_n7200_b480_blk5
[15:05:23] 0435_starpu_lws_geqrf_n2400_b480_blk5
[15:05:23] 0436_starpu_lws_potrf_n2400_b480_blk5
[15:05:24] 0437_starpu_ws_geqrf_n19200_b480_blk5
[15:06:09] 0438_starpu_lws_potrf_n16800_b480_blk5
[15:06:15] 0439_starpu_ws_potrf_n2400_b480_blk5
[15:06:15] 0440_starpu_lws_geqrf_n4800_b480_blk5
[15:06:16] 0441_starpu_ws_geqrf_n21600_b480_blk5
[15:07:20] 0442_starpu_lws_potrf_n7200_b480_blk5
[15:07:21] 0443_starpu_ws_geqrf_n16800_b480_blk5
[15:07:52] 0444_starpu_lws_geqrf_n9600_b480_blk5
[15:07:58] 0445_starpu_ws_geqrf_n28800_b480_blk5
[15:10:28] 0446_starpu_ws_potrf_n28800_b480_blk5
[15:10:56] 0447_starpu_ws_geqrf_n26400_b480_blk5
[15:12:52] 0448_starpu_lws_potrf_n14400_b480_blk5
[15:12:56] 0449_starpu_lws_geqrf_n14400_b480_blk5
[15:13:15] 0450_starpu_lws_potrf_n4800_b480_blk5
[15:13:16] 0451_starpu_ws_geqrf_n2400_b480_blk5
[15:13:16] 0452_starpu_lws_geqrf_n16800_b480_blk5
[15:13:47] 0453_starpu_ws_potrf_n9600_b480_blk5
[15:13:48] 0454_starpu_ws_geqrf_n12000_b480_blk5
[15:14:00] 0455_starpu_ws_geqrf_n7200_b480_blk5
[15:14:03] 0456_starpu_ws_potrf_n26400_b480_blk5
[15:14:25] 0457_starpu_lws_potrf_n9600_b480_blk5
[15:14:26] 0458_starpu_ws_potrf_n4800_b480_blk5
[15:14:26] 0459_starpu_ws_potrf_n24000_b480_blk5
[15:14:43] 0460_starpu_lws_potrf_n12000_b480_blk5
[15:14:45] 0461_starpu_lws_geqrf_n26400_b480_blk5
[15:16:42] 0462_starpu_lws_geqrf_n7200_b480_blk5
[15:16:45] 0463_starpu_lws_geqrf_n12000_b480_blk5
[15:16:56] 0464_starpu_ws_potrf_n21600_b480_blk5
[15:17:08] 0465_starpu_lws_potrf_n21600_b480_blk5
[15:17:21] 0466_starpu_ws_geqrf_n9600_b480_blk5
[15:17:27] 0467_starpu_lws_potrf_n19200_b480_blk5
[15:17:36] 0468_starpu_lws_potrf_n28800_b480_blk5
[15:18:03] 0469_starpu_ws_potrf_n16800_b480_blk5
[15:18:09] 0470_starpu_lws_potrf_n24000_b480_blk5
[15:18:26] 0471_starpu_ws_potrf_n19200_b480_blk5
[15:18:35] 0472_starpu_ws_potrf_n14400_b480_blk5
[15:18:39] 0473_starpu_ws_geqrf_n24000_b480_blk5
[15:20:06] 0474_starpu_lws_geqrf_n28800_b480_blk5
[15:22:36] 0475_starpu_lws_geqrf_n21600_b480_blk5
[15:23:40] 0476_starpu_ws_potrf_n12000_b480_blk5
[15:23:43] 0477_starpu_ws_geqrf_n14400_b480_blk5
[15:24:02] 0478_starpu_lws_potrf_n26400_b480_blk5
[15:24:24] 0479_starpu_lws_geqrf_n19200_b480_blk5
[15:25:09] 0480_starpu_ws_geqrf_n4800_b480_blk5
[15:25:14] 0001_parsec_lfq_geqrf_n24000_b480_blk1
[15:26:40] 0002_parsec_gd_potrf_n19200_b480_blk1
[15:26:47] 0003_parsec_gd_geqrf_n12000_b480_blk1
[15:26:59] 0004_parsec_lfq_potrf_n14400_b480_blk1
[15:27:02] 0005_parsec_lfq_potrf_n4800_b480_blk1
[15:27:03] 0006_parsec_gd_potrf_n16800_b480_blk1
[15:27:08] 0007_parsec_lfq_geqrf_n7200_b480_blk1
[15:27:11] 0008_parsec_gd_geqrf_n2400_b480_blk1
[15:27:12] 0009_parsec_gd_potrf_n2400_b480_blk1
[15:27:12] 0010_parsec_gd_potrf_n9600_b480_blk1
[15:27:13] 0011_parsec_gd_geqrf_n9600_b480_blk1
[15:27:19] 0012_parsec_gd_potrf_n26400_b480_blk1
[15:27:39] 0013_parsec_lfq_geqrf_n26400_b480_blk1
[15:29:33] 0014_parsec_gd_potrf_n12000_b480_blk1
[15:29:36] 0015_parsec_gd_geqrf_n4800_b480_blk1
[15:29:37] 0016_parsec_lfq_potrf_n24000_b480_blk1
[15:29:52] 0017_parsec_lfq_potrf_n9600_b480_blk1
[15:29:53] 0018_parsec_lfq_geqrf_n9600_b480_blk1
[15:30:00] 0019_parsec_lfq_geqrf_n12000_b480_blk1
[15:30:11] 0020_parsec_gd_potrf_n28800_b480_blk1
[15:30:37] 0021_parsec_gd_geqrf_n24000_b480_blk1
[15:32:03] 0022_parsec_lfq_geqrf_n28800_b480_blk1
[15:34:30] 0023_parsec_lfq_potrf_n16800_b480_blk1
[15:34:36] 0024_parsec_gd_geqrf_n21600_b480_blk1
[15:35:38] 0025_parsec_lfq_potrf_n7200_b480_blk1
[15:35:39] 0026_parsec_lfq_potrf_n28800_b480_blk1
[15:36:06] 0027_parsec_gd_geqrf_n26400_b480_blk1
[15:37:59] 0028_parsec_lfq_geqrf_n21600_b480_blk1
[15:39:02] 0029_parsec_lfq_geqrf_n16800_b480_blk1
[15:39:33] 0030_parsec_lfq_potrf_n21600_b480_blk1
[15:39:44] 0031_parsec_lfq_geqrf_n14400_b480_blk1
[15:40:03] 0032_parsec_gd_geqrf_n19200_b480_blk1
[15:40:48] 0033_parsec_lfq_geqrf_n19200_b480_blk1
[15:41:33] 0034_parsec_gd_potrf_n14400_b480_blk1
[15:41:36] 0035_parsec_gd_potrf_n24000_b480_blk1
[15:41:52] 0036_parsec_gd_geqrf_n28800_b480_blk1
[15:44:18] 0037_parsec_gd_potrf_n21600_b480_blk1
[15:44:29] 0038_parsec_gd_geqrf_n7200_b480_blk1
[15:44:32] 0039_parsec_lfq_potrf_n2400_b480_blk1
[15:44:32] 0040_parsec_lfq_potrf_n26400_b480_blk1
[15:44:53] 0041_parsec_gd_geqrf_n16800_b480_blk1
[15:45:23] 0042_parsec_lfq_potrf_n12000_b480_blk1
[15:45:25] 0043_parsec_gd_potrf_n7200_b480_blk1
[15:45:26] 0044_parsec_gd_geqrf_n14400_b480_blk1
[15:45:45] 0045_parsec_lfq_geqrf_n2400_b480_blk1
[15:45:46] 0046_parsec_lfq_geqrf_n4800_b480_blk1
[15:45:47] 0047_parsec_lfq_potrf_n19200_b480_blk1
[15:45:55] 0048_parsec_gd_potrf_n4800_b480_blk1
[15:45:55] 0049_parsec_gd_geqrf_n4800_b480_blk2
[15:45:57] 0050_parsec_lfq_potrf_n7200_b480_blk2
[15:45:57] 0051_parsec_gd_geqrf_n24000_b480_blk2
[15:47:23] 0052_parsec_gd_geqrf_n16800_b480_blk2
[15:47:53] 0053_parsec_gd_potrf_n14400_b480_blk2
[15:47:56] 0054_parsec_gd_geqrf_n7200_b480_blk2
[15:47:59] 0055_parsec_lfq_geqrf_n26400_b480_blk2
[15:49:54] 0056_parsec_lfq_potrf_n16800_b480_blk2
[15:49:59] 0057_parsec_lfq_potrf_n24000_b480_blk2
[15:50:15] 0058_parsec_lfq_potrf_n28800_b480_blk2
[15:50:42] 0059_parsec_lfq_potrf_n4800_b480_blk2
[15:50:42] 0060_parsec_lfq_potrf_n2400_b480_blk2
[15:50:42] 0061_parsec_lfq_geqrf_n14400_b480_blk2
[15:51:02] 0062_parsec_lfq_geqrf_n9600_b480_blk2
[15:51:08] 0063_parsec_gd_potrf_n2400_b480_blk2
[15:51:08] 0064_parsec_lfq_geqrf_n2400_b480_blk2
[15:51:09] 0065_parsec_gd_geqrf_n26400_b480_blk2
[15:53:02] 0066_parsec_gd_potrf_n4800_b480_blk2
