===============================================================
Date        : Wed May 13 10:49:42 AM -03 2026
SubmitHost  : cei2
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782087
Node(s)     : cei2
===============================================================
[11:20:08] 0277_starpu_lws_dpotrf_n24000_b480_rep3
[11:20:16] 0278_starpu_ws_dpotrf_n26400_b480_rep3
[11:20:27] 0279_starpu_lws_dpotrf_n16800_b480_rep3
[11:20:30] 0281_starpu_ws_dpotrf_n28800_b480_rep3
[11:20:45] 0284_starpu_ws_dgeqrf_n26400_b480_rep3
[11:21:43] 0285_starpu_lws_dpotrf_n28800_b480_rep3
[11:21:57] 0288_starpu_ws_dpotrf_n19200_b480_rep3
[11:22:01] 0291_starpu_ws_dgeqrf_n12000_b480_rep4
[11:22:07] 0293_starpu_ws_dpotrf_n14400_b480_rep4
[11:22:09] 0297_starpu_ws_dpotrf_n19200_b480_rep4
[11:22:14] 0300_starpu_ws_dpotrf_n12000_b480_rep4
[11:22:15] 0302_starpu_lws_dpotrf_n14400_b480_rep4
[11:22:17] 0303_starpu_lws_dpotrf_n16800_b480_rep4
[11:22:20] 0306_starpu_ws_dgeqrf_n19200_b480_rep4
[11:22:43] 0310_starpu_ws_dpotrf_n2400_b480_rep4
[11:22:43] 0311_starpu_ws_dgeqrf_n16800_b480_rep4
[11:22:59] 0313_starpu_ws_dpotrf_n26400_b480_rep4
[11:23:10] 0314_starpu_lws_dgeqrf_n26400_b480_rep4
[11:24:08] 0315_starpu_lws_dpotrf_n4800_b480_rep4
[11:24:08] 0317_starpu_lws_dpotrf_n24000_b480_rep4
[11:24:16] 0320_starpu_lws_dgeqrf_n4800_b480_rep4
[11:24:17] 0323_starpu_lws_dpotrf_n2400_b480_rep4
[11:24:17] 0326_starpu_lws_dpotrf_n7200_b480_rep4
[11:24:18] 0327_starpu_ws_dgeqrf_n21600_b480_rep4
[11:24:50] 0328_starpu_ws_dgeqrf_n24000_b480_rep4
[11:25:34] 0330_starpu_lws_dpotrf_n28800_b480_rep4
[11:25:48] 0331_starpu_ws_dpotrf_n7200_b480_rep4
[11:25:48] 0334_starpu_ws_dgeqrf_n14400_b480_rep4
[11:25:58] 0335_starpu_lws_dpotrf_n12000_b480_rep4
[11:25:59] 0338_starpu_lws_dgeqrf_n24000_b480_rep4
[11:26:44] 0340_starpu_ws_dpotrf_n21600_b480_rep4
[11:26:50] 0341_starpu_ws_dgeqrf_n26400_b480_rep4
[11:27:48] 0343_starpu_lws_dgeqrf_n21600_b480_rep4
[11:28:21] 0346_starpu_ws_dpotrf_n4800_b480_rep4
[11:28:21] 0348_starpu_ws_dgeqrf_n9600_b480_rep4
[11:28:24] 0349_starpu_ws_dpotrf_n9600_b480_rep4
[11:28:25] 0350_starpu_lws_dpotrf_n21600_b480_rep4
[11:28:31] 0353_starpu_lws_dpotrf_n26400_b480_rep4
[11:28:42] 0354_starpu_ws_dpotrf_n16800_b480_rep4
[11:28:45] 0355_starpu_lws_dpotrf_n19200_b480_rep4
[11:28:50] 0356_starpu_ws_dpotrf_n24000_b480_rep4
