algorithm,n,b,runtime,scheduler,iterations,Blocks
geqrf,19200,320,starpu,ws,60,.3
geqrf,19200,480,starpu,ws,40,.3
geqrf,19200,200,starpu,ws,96,.3
potrf,19200,320,starpu,ws,60,.3
geqrf,19200,200,starpu,lws,96,.3
potrf,19200,200,starpu,lws,96,.3
potrf,19200,960,starpu,lws,20,.3
geqrf,19200,640,starpu,ws,30,.3
potrf,19200,256,starpu,ws,75,.3
potrf,19200,640,starpu,lws,30,.3
potrf,19200,256,starpu,lws,75,.3
geqrf,19200,960,starpu,lws,20,.3
geqrf,19200,384,starpu,lws,50,.3
potrf,19200,480,starpu,lws,40,.3
geqrf,19200,256,starpu,ws,75,.3
geqrf,19200,480,starpu,lws,40,.3
potrf,19200,200,starpu,ws,96,.3
potrf,19200,320,starpu,lws,60,.3
potrf,19200,384,starpu,ws,50,.3
geqrf,19200,640,starpu,lws,30,.3
geqrf,19200,320,starpu,lws,60,.3
geqrf,19200,256,starpu,lws,75,.3
geqrf,19200,960,starpu,ws,20,.3
potrf,19200,640,starpu,ws,30,.3
potrf,19200,480,starpu,ws,40,.3
potrf,19200,960,starpu,ws,20,.4
geqrf,19200,384,starpu,lws,50,.4
potrf,19200,384,starpu,ws,50,.4
potrf,19200,200,starpu,lws,96,.4
geqrf,19200,320,starpu,ws,60,.4
geqrf,19200,480,starpu,ws,40,.4
geqrf,19200,384,starpu,ws,50,.4
geqrf,19200,200,starpu,ws,96,.4
geqrf,19200,200,starpu,lws,96,.4
geqrf,19200,960,starpu,lws,20,.4
geqrf,19200,640,starpu,ws,30,.4
potrf,19200,320,starpu,lws,60,.4
potrf,19200,384,starpu,lws,50,.4
geqrf,19200,256,starpu,lws,75,.4
potrf,19200,256,starpu,ws,75,.4
geqrf,19200,480,starpu,lws,40,.4
potrf,19200,640,starpu,ws,30,.4
potrf,19200,480,starpu,lws,40,.4
potrf,19200,200,starpu,ws,96,.4
geqrf,19200,320,starpu,lws,60,.4
geqrf,19200,256,starpu,ws,75,.4
potrf,19200,256,starpu,lws,75,.4
potrf,19200,960,starpu,lws,20,.4
potrf,19200,320,starpu,ws,60,.4
geqrf,19200,640,starpu,lws,30,.4
potrf,19200,640,starpu,lws,30,.4
potrf,19200,480,starpu,ws,40,.4
geqrf,19200,960,starpu,ws,20,.4
geqrf,19200,320,starpu,ws,60,.5
potrf,19200,200,starpu,lws,96,.5
geqrf,19200,960,starpu,ws,20,.5
geqrf,19200,960,starpu,lws,20,.5
geqrf,19200,640,starpu,lws,30,.5
geqrf,19200,200,starpu,ws,96,.5
geqrf,19200,480,starpu,lws,40,.5
geqrf,19200,640,starpu,ws,30,.5
geqrf,19200,256,starpu,lws,75,.5
geqrf,19200,384,starpu,ws,50,.5
potrf,19200,640,starpu,ws,30,.5
geqrf,19200,480,starpu,ws,40,.5
potrf,19200,200,starpu,ws,96,.5
potrf,19200,256,starpu,ws,75,.5
geqrf,19200,256,starpu,ws,75,.5
geqrf,19200,384,starpu,lws,50,.5
potrf,19200,384,starpu,ws,50,.5
potrf,19200,384,starpu,lws,50,.5
potrf,19200,960,starpu,ws,20,.5
potrf,19200,640,starpu,lws,30,.5
potrf,19200,480,starpu,lws,40,.5
geqrf,19200,200,starpu,lws,96,.5
potrf,19200,320,starpu,lws,60,.5
potrf,19200,256,starpu,lws,75,.5
geqrf,19200,320,starpu,lws,60,.5
potrf,19200,480,starpu,ws,40,.5
potrf,19200,960,starpu,lws,20,.5
potrf,19200,320,starpu,ws,60,.5
